[Person #35, Arrival Time: 10.34492414973746, Departure Time: 15.33078849490619, Wait Time: 4.98586434516873, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #0, Arrival Time: 11.324609533440597, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 15.003097873387361, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 15.098161737679582, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 15.62587256312548, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #36, Arrival Time: 3.3090374025074545, Departure Time: 16.33078849490619, Wait Time: 13.021751092398736, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #37, Arrival Time: 13.580990928027258, Departure Time: 16.33078849490619, Wait Time: 2.7497975668789323, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #38, Arrival Time: 13.861235720204888, Departure Time: 16.33078849490619, Wait Time: 2.4695527747013024, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #39, Arrival Time: 14.330722071101588, Departure Time: 16.33078849490619, Wait Time: 2.0000664238046024, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #40, Arrival Time: 10.291376896869105, Departure Time: 17.83078849490619, Wait Time: 7.539411598037086, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #41, Arrival Time: 13.714746606097938, Departure Time: 17.83078849490619, Wait Time: 4.116041888808253, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #42, Arrival Time: 14.295169122751009, Departure Time: 17.83078849490619, Wait Time: 3.535619372155182, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #43, Arrival Time: 13.104030439413673, Departure Time: 18.83078849490619, Wait Time: 5.7267580554925175, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #0, Arrival Time: 15.086793021311385, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 15.778582851640918, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 17.81417639738486, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 18.654071164105105, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 19.6047968035099, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 19.772400234940825, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #44, Arrival Time: 9.588348952871494, Departure Time: 19.83078849490619, Wait Time: 10.242439542034697, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #45, Arrival Time: 16.581416517854393, Departure Time: 19.83078849490619, Wait Time: 3.2493719770517977, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #46, Arrival Time: 17.47757569408894, Departure Time: 19.83078849490619, Wait Time: 2.35321280081725, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #47, Arrival Time: 10.589204603176825, Departure Time: 21.33078849490619, Wait Time: 10.741583891729366, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #48, Arrival Time: 14.422801166359593, Departure Time: 21.33078849490619, Wait Time: 6.907987328546598, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #49, Arrival Time: 17.148802457433334, Departure Time: 21.33078849490619, Wait Time: 4.181986037472857, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #50, Arrival Time: 17.557695707156412, Departure Time: 21.33078849490619, Wait Time: 3.7730927877497784, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #51, Arrival Time: 14.20895432998878, Departure Time: 22.33078849490619, Wait Time: 8.121834164917411, Time Boarded Lift: 16.33078849490619, Walker: False]
[Person #52, Arrival Time: 16.845539886793272, Departure Time: 22.33078849490619, Wait Time: 5.485248608112919, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #0, Arrival Time: 18.716252367528902, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 21.20097302267494, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 23.145502690070852, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #53, Arrival Time: 16.65504151842589, Departure Time: 23.33078849490619, Wait Time: 6.675746976480301, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #54, Arrival Time: 20.165364489861382, Departure Time: 23.33078849490619, Wait Time: 3.165424005044809, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #55, Arrival Time: 17.39921068978324, Departure Time: 24.83078849490619, Wait Time: 7.431577805122952, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #56, Arrival Time: 20.39786103439687, Departure Time: 24.83078849490619, Wait Time: 4.4329274605093225, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #57, Arrival Time: 21.035080176077553, Departure Time: 24.83078849490619, Wait Time: 3.7957083188286376, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #58, Arrival Time: 16.331319764559417, Departure Time: 25.83078849490619, Wait Time: 9.499468730346774, Time Boarded Lift: 19.83078849490619, Walker: False]
[Person #59, Arrival Time: 19.90230322115482, Departure Time: 25.83078849490619, Wait Time: 5.92848527375137, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #60, Arrival Time: 21.00191146244428, Departure Time: 25.83078849490619, Wait Time: 4.828877032461911, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #0, Arrival Time: 24.997994545590828, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 26.06418514216344, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #61, Arrival Time: 20.283742339298197, Departure Time: 26.83078849490619, Wait Time: 6.547046155607994, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #62, Arrival Time: 23.746666145934523, Departure Time: 26.83078849490619, Wait Time: 3.0841223489716683, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #63, Arrival Time: 19.893122436245697, Departure Time: 28.33078849490619, Wait Time: 8.437666058660493, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #64, Arrival Time: 23.46205443390531, Departure Time: 28.33078849490619, Wait Time: 4.8687340610008825, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #65, Arrival Time: 24.246079300832385, Departure Time: 28.33078849490619, Wait Time: 4.084709194073806, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #66, Arrival Time: 21.064237172289356, Departure Time: 29.33078849490619, Wait Time: 8.266551322616834, Time Boarded Lift: 23.33078849490619, Walker: False]
[Person #67, Arrival Time: 23.635397395873355, Departure Time: 29.33078849490619, Wait Time: 5.695391099032836, Time Boarded Lift: 26.83078849490619, Walker: False]
[Person #68, Arrival Time: 24.127202136591627, Departure Time: 29.33078849490619, Wait Time: 5.203586358314563, Time Boarded Lift: 26.83078849490619, Walker: False]
